chain,rank,tokens,jailed_until,moniker,operator_address,hex_address
KAVA,25,737598945933,1970-01-01T00:00:00Z,polkachu.com,kavavaloper125s8t5c6ypwee7ytun90lnhgpls2zl3vta43aj,974A239562D100506A23FE6A3E8B47BED30AD61B
KAVA,46,203250335043,2020-08-18T08:50:41.380204711Z,AutoStake 🛡️ Slash Protected,kavavaloper1hztgl202pvetspxch0pcchaqzrduw4qq64q08u,C4F7C3E4A5058CCF1EFF34C207CB287A7DE71182
KAVA,6,3428218750772,2021-05-17T20:16:05.871843414Z,Chorus One,kavavaloper15urq2dtp9qce4fyc85m6upwm9xul3049dcs7da,9552EC40A8D27F2EF1252985A89BE63BFAB24550
KAVA,28,567773324313,1970-01-01T00:00:00Z,Citadel.one,kavavaloper17u9s2fx5htqdsuk78hkfskw9s5g06tzqyl2m8j,904FC4A2431DBC85CB3444D8B3B069CF77242712
KAVA,17,1552183573211,1970-01-01T00:00:00Z,StakeWithUs,kavavaloper1c9ye54e3pzwm3e0zpdlel6pnavrj9qqvh0atdq,CEC7DBB2A51DFB8B98CCA86F749AD50DED845AE9
KAVA,8,2522738395653,2020-12-19T06:55:25.706549517Z,Stakin,kavavaloper1dede4flaq24j2g9u8f83vkqrqxe6cwzrxt5zsu,6DEA0A253A59FA6526EC622B6B3B87AA8B5FE596
chain,rank,tokens,jailed_until,moniker,operator_address,hex_address
KI CHAIN,11,12010236220977,1970-01-01T00:00:00Z,Citadel.one,kivaloper1umjuwrcn0vdx6w7nxaemv9s6ds0w860k5nrfyr,14235AC305C67DA216E9F5404D1DF5D89BA2DC8D
KI CHAIN,31,2979905406795,2022-04-13T06:59:13.269808812Z,polkachu.com | 5% fee,kivaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4pq8jud7,904B4C45C46798A52D0A0B7621F4B0707A0DF109
KI CHAIN,12,11893787573554,2022-06-27T18:06:24.849631410Z,StakeLab,kivaloper14g4ztk36q529vx8ash7y8hr047kgzxlvyh2ch5,22770E48EF1F4A2DDB16F1FAD67F357E97728A33
KI CHAIN,1,103182542364499,1970-01-01T00:00:00Z,Klub Staking,kivaloper1wx78v65ppxvgnefhfryc8ksja2hqzksmmh53au,FBFC69F75FF8F41F396637B68F4DD8348905300B
KI CHAIN,96,10204419356,2022-09-15T12:50:57.695596170Z,Oldcat,kivaloper14932eu6d398f0ycqj6xtmy9xhaewzegkhz2eap,B19811C14545ACBDE1E3C8E547FB85C2F25DEAA7
chain,rank,tokens,jailed_until,moniker,operator_address,hex_address
KONSTELLATION,10,16587690971446,1970-01-01T00:00:00Z,Citadel.one,darcvaloper1yu5nqdp8pdtz9q9n6h2wt6h5vsk9qhhsq92xn3,6E1C3994C0683257F06A5C85404A579E2DD56700
